"AGE"	"n_older_m"	"n_younger_m"	"n_older_f"	"n_younger_f"	"p_older_m"	"p_younger_m"	"p_older_f"	"p_younger_f"	"p_same_m"	"n_same_m"	"p_same_f"	"n_same_f"
0	160506473	0	163425618	0	0.977635465376493	0	0.979069335106629	0	0.0223645346235067	3671770	0.0209306648933711	3493733
1	158542165	0	161548873	0	0.965670981142124	0	0.967825911328879	0	0.0343290188578763	5636078	0.0321740886711211	5370478
2	156534735	1767358	159613946	1686113	0.953443843347745	0.0107648733943389	0.956233924010404	0.0101013632625495	0.0357912832579162	5876150	0.0336647127270462	5619292
3	154478336	3671770	157664079	3493733	0.940918438261031	0.0223645346235067	0.944552432389939	0.0209306648933712	0.0367170271154626	6028137	0.0345169027166898	5761539
4	152503156	5636078	155768930	5370478	0.928887733315553	0.0343290188578763	0.933198751773244	0.0321740886711212	0.0367832478265711	6039009	0.0346271595556347	5779943
5	150497321	7643508	153849357	7305405	0.916670310572151	0.0465561566522551	0.921698748996454	0.0437660759895957	0.0367735327755944	6037414	0.0345351750139503	5764589
6	148476549	9699907	151915245	9255272	0.904361907442267	0.0590815617389693	0.910111644275444	0.055447567610061	0.0365565308187639	6001787	0.0344407881144949	5748834
7	146408396	11675087	149954274	11150421	0.891764909434437	0.0711122666844473	0.898363629511116	0.0668012482267559	0.0371228238811156	6094760	0.0348351222621277	5814656
8	144305299	13680922	147947269	13069994	0.878955069582515	0.0833296894278495	0.886339828867415	0.078301251003546	0.0377152409896359	6192022	0.0353589201290389	5902088
9	142128327	15701694	145884748	15004106	0.865695261460436	0.0956380925577331	0.87398343646807	0.0898883557245559	0.0386666459818308	6348222	0.0361282078073741	6030497
10	139946782	17769847	143802217	16965077	0.85240759946493	0.108235090565563	0.861507165816862	0.101636370488884	0.0393573099695068	6461614	0.0368564636942544	6152057
11	137745786	19872944	141696392	18972082	0.839001462575038	0.121044930417485	0.848891342741921	0.113660171132585	0.0399536070074766	6559513	0.0374484861254942	6250877
12	135508542	22049916	139575632	21034603	0.825374541253922	0.134304738539564	0.836186045319575	0.12601656353193	0.0403207202065136	6619785	0.0377973911484954	6309116
13	133265775	24231461	137457518	23117134	0.811713979665381	0.14759240053507	0.823496599863967	0.138492834183138	0.0406936197995492	6681007	0.0380105659528955	6344699
14	131063111	26432457	135350585	25222959	0.798297683085816	0.160998537424962	0.81087413885284	0.151108657258079	0.0407037794892225	6682675	0.0380172038890806	6345807
15	128875077	28669701	133279114	27343719	0.784970496973829	0.174625458746078	0.798464127745141	0.163813954680425	0.0404040442800938	6633465	0.0377219175744339	6296518
16	126692471	30912468	131211378	29461833	0.771676372489868	0.188286020334619	0.786076492712939	0.176503400136033	0.0400376071755135	6573304	0.0374201071510276	6246140
17	124306202	33115132	128896689	31568766	0.757141748678599	0.201702316914185	0.772209382721599	0.18912586114716	0.0411559344072162	6756909	0.0386647561312409	6453896
18	122057071	35303166	126766707	33640237	0.743442424341208	0.215029503026171	0.759448837061438	0.201535872254859	0.0415280726326204	6818006	0.0390152906837027	6512407
19	119720214	37485772	124566429	35707973	0.729208766109161	0.228323627510132	0.746267153890384	0.213923507287061	0.0424676063807067	6972257	0.0398093388225551	6644949
20	117388383	39872041	122378850	38022662	0.715005720946837	0.242858251321401	0.733161549376022	0.227790617278401	0.0421360277317623	6917819	0.0390478333455777	6517839
21	115135438	42121172	120231984	40152644	0.701283165760277	0.256557575658792	0.72029985307096	0.240551162938562	0.0421592585809314	6921633	0.0391489839904781	6534723
22	112885603	44458029	118082354	42352922	0.687579553400386	0.270791233890839	0.707421597870938	0.253732846109616	0.0416292127087753	6834611	0.0388455560194456	6484075
23	110637754	46789860	115928120	44540501	0.673888037649422	0.284994279053163	0.694515760488429	0.266838450623978	0.0411176832974147	6750629	0.0386457888875928	6450730
24	108329183	49042805	113756484	46687367	0.659826667775949	0.298716834239723	0.681505669165943	0.27970014692904	0.0414564979843279	6806255	0.0387941839050165	6475500
25	106041761	51292640	111568310	48836997	0.645894115214767	0.312420446599614	0.668396500055886	0.292578402129062	0.0416854381856188	6843842	0.039025097815052	6514044
26	103718501	53540489	109363117	50991231	0.631743275508193	0.326111962350578	0.655185371527116	0.305484239511571	0.0421447621412296	6919253	0.0393303889613134	6565003
27	101402065	55849060	107107617	53162867	0.617634000383352	0.340173332224051	0.641672857930055	0.318494330834056	0.0421926673925971	6927118	0.0398328112358884	6648867
28	99089891	58136482	104851568	55351041	0.603550684849271	0.354105884785233	0.628157055319488	0.331603499944114	0.0423434303654961	6951870	0.0402394447363984	6716742
29	96658535	60459742	102509143	57556234	0.588741438778828	0.368256724491807	0.614123781250503	0.344814628472884	0.043001836729365	7059966	0.0410615902766122	6853974
30	94380772	62776178	100289503	59811734	0.574867718617259	0.382365999616648	0.600826101941889	0.358327142069945	0.0427662817660925	7021293	0.0408467559881658	6818114
31	92079516	65088352	98053619	62067783	0.560850903977575	0.396449315150729	0.587431106175341	0.371842944680512	0.0426997808716956	7010375	0.0407259491441469	6797949
32	89808414	67519708	95870528	64410208	0.547017755574349	0.411258561221172	0.574352388897079	0.385876218749497	0.0417236832044792	6850121	0.0397713923534246	6638615
33	87585069	69797471	93682345	66629848	0.533475492242903	0.425132281382741	0.561243165868767	0.399173898058111	0.0413922263743558	6795703	0.039582936073122	6607158
34	85257995	72098727	91433737	68865732	0.51930142168716	0.439149096022425	0.547771941672599	0.412568893824659	0.0415494822904153	6821521	0.0396591645027424	6619882
35	83015176	74369829	89250057	71048823	0.505640543369684	0.452982244425651	0.534689695744144	0.425647611102921	0.0413772122046647	6793238	0.0396626931529346	6620471
36	80804702	76593174	87098064	73237006	0.492176676540508	0.466524507757097	0.521797284006933	0.438756834131233	0.0412988157023949	6780367	0.039445881861834	6584281
37	78601717	78920248	84944928	75485614	0.478758424768865	0.48069857831284	0.508898024651438	0.452228058327401	0.0405429969182944	6656278	0.0388739170211607	6488809
38	76445552	81163067	82819380	77669294	0.465625350857239	0.494359456630316	0.496164042717851	0.465310304255856	0.0400151925124451	6569624	0.038525653026293	6430677
39	74142669	83373541	80598116	79821287	0.451598626256464	0.507823323459492	0.482856634159811	0.478202715993067	0.040578050284044	6662033	0.0389406498471229	6499948
40	72049666	85576526	78540340	81974423	0.438850268363513	0.521241575231135	0.470528668662269	0.491101975348562	0.0399081564053527	6552051	0.0383693559891686	6404588
41	69966914	87732691	76465201	84099971	0.426164348707277	0.534374649142761	0.45809668287052	0.503835957282149	0.0394610021499622	6478638	0.0380673598473312	6354179
42	67930020	90035574	74453478	86321235	0.413757747425766	0.548401373743536	0.446044617079778	0.517143365840189	0.0378408788306986	6212649	0.0368120170800329	6144638
43	65919678	92128577	72457594	88379011	0.401512872811046	0.561149731636487	0.43408744142553	0.529471331337731	0.0373373955524667	6129988	0.036441227236739	6082746
44	63906992	94211329	70471209	90454150	0.389253721030502	0.573835651292723	0.422187173493144	0.54190331712948	0.0369106276767743	6059922	0.0359095093773759	5993992
45	61945356	96248223	68514458	92465873	0.377305511790621	0.586242252574234	0.410464440399124	0.553955382920222	0.0364522356351443	5984664	0.0355801766806534	5939020
46	59916530	98258565	66485859	94461757	0.364948052221511	0.598487127188954	0.398311271890819	0.56591255857447	0.0365648205895346	6003148	0.0357761695347114	5971735
47	57829655	100271251	64427272	96448142	0.352237019615321	0.610746278969498	0.385978447759481	0.577812826506856	0.0370167014151808	6077337	0.0362087257336628	6043937
48	55760615	102232887	62374025	98404893	0.339634618942779	0.622694488209379	0.373677615125642	0.589535559600876	0.0376708928478421	6184741	0.0367868252734819	6140433
49	53580861	104261713	60230005	100433492	0.326357865822696	0.635051947778489	0.360832968970746	0.601688728109181	0.0385901863988154	6335669	0.037478302920073	6255854
50	51538583	106348588	58208512	102492079	0.313918470914566	0.647762980384679	0.348722371919598	0.614021552240519	0.0383185487007557	6291072	0.0372560758398828	6218760
51	49468849	108417628	56167816	104545326	0.301311843128934	0.660365381057221	0.336496731286716	0.626322384874358	0.0383227758138452	6291766	0.0371808838389266	6206209
52	47413276	110597382	54086740	106689346	0.288791469159528	0.673642134177304	0.324029177419939	0.639167031029254	0.0375663966631681	6167585	0.036803791550807	6143265
53	45327525	112639660	51968294	108710839	0.276087282771079	0.686081529085434	0.311337742979842	0.651277628080402	0.0378311881434863	6211058	0.0373846289397566	6240218
54	43230696	114709394	49830103	110751535	0.263315620937666	0.698688156871066	0.298528017880923	0.663503268713284	0.0379962221912681	6238153	0.0379687134057932	6337713
55	41124233	116764967	47707301	112832611	0.250485278978165	0.711208530840472	0.285810487005788	0.675970822580061	0.0383061901813628	6289043	0.0382186904141509	6379439
56	38999286	118850718	45522381	114951057	0.237542352064274	0.72391271722892	0.272720812340086	0.688662257020158	0.0385449307068051	6328239	0.0386169306397555	6445913
57	36859942	120947547	43312002	117089248	0.22451173387207	0.736684379062334	0.259478614915056	0.701471982119077	0.0388038870655961	6370754	0.039049402965867	6518101
58	34741038	123054010	41108178	119212050	0.211605614514951	0.749514721021835	0.246275687951842	0.714189512994212	0.0388796644632139	6383195	0.0395347990539455	6599123
59	32545401	125178957	38839037	121396970	0.198232118978152	0.762457647935726	0.232681452254149	0.727279187659914	0.0393102330861221	6453885	0.0400393600859376	6683344
60	30452144	127318301	36644643	123607349	0.185482213986174	0.77548826612793	0.219535019639514	0.740521385084944	0.0390295198858962	6407798	0.0399435952755413	6667359
61	28391106	129437205	34455842	125811173	0.172928553023923	0.788394385485049	0.206422094224414	0.753724312048158	0.0386770614910285	6349932	0.0398535937274282	6652336
62	26410354	131632842	32328928	128080314	0.160863909354908	0.801767881021848	0.193679928698021	0.767318547745851	0.0373682096232447	6135047	0.0390015235561275	6510109
63	24460795	133726099	30253621	130274708	0.148989260410102	0.814517786013826	0.181246936432194	0.780464980360486	0.0364929535760716	5991349	0.0382880832073208	6391022
64	22613498	135787137	28221299	132463509	0.137737483279072	0.827071446976077	0.169071463739396	0.793577905775586	0.0351910697448504	5777608	0.0373506304850179	6234543
65	20850931	137767889	26303445	134590423	0.12700179158331	0.839136090645092	0.15758175934916	0.806320071301979	0.0338621177715979	5559423	0.0360981693488611	6025483
66	19166435	139717448	24441265	136665730	0.116741625746354	0.851010739589898	0.146425593279475	0.818753063567806	0.0322476346637477	5294360	0.0348213431527181	5812356
67	17557244	141564745	22639352	138698052	0.106940138225258	0.862262516720927	0.135630481812741	0.830928536260604	0.0307973450538145	5056254	0.0334409819266551	5581947
68	15997871	143327312	20887171	140615906	0.0974420892054497	0.87299820841669	0.125133310636943	0.84241824065084	0.0295597023778601	4853060	0.0324484487122167	5416274
69	14462101	145011808	19143768	142478086	0.0880878046672725	0.883258374253646	0.114688727731754	0.853574406720525	0.0286538210790818	4704334	0.0317368655477219	5297497
70	13013472	146620999	17487289	144279999	0.0792642908232365	0.893059861774742	0.10476489930757	0.864369518187259	0.0276758474020214	4543772	0.0308655825051705	5152063
71	11656485	148180372	15954319	146032180	0.0709989629990132	0.90255791079455	0.0955810030677629	0.874866689363057	0.0264431262064365	4341386	0.0295523075691805	4932852
72	10430017	149716142	14546539	147775583	0.0635286187098494	0.911912195332727	0.0871471097440344	0.885311272268246	0.0245591859574231	4032084	0.0275416179877191	4597229
73	9255277	151164771	13186233	149432062	0.0563733466193812	0.920735709176764	0.0789976292203532	0.89523510069243	0.0228909442038553	3758195	0.0257672700872171	4301056
74	8203567	152521758	11899273	150965032	0.0499674430064403	0.929001037000987	0.0712875585048255	0.904418996932237	0.0210315199925729	3452918	0.0242934445629375	4055046
75	7278602	153748226	10764731	152372812	0.0443335357170316	0.936471381290151	0.0644906113971172	0.912852890255966	0.0191950829928177	3151415	0.0226564983469172	3781808
76	6440379	154922966	9705490	153733118	0.0392279688362848	0.943626653380619	0.0581447863405604	0.921002370779647	0.0171453777830963	2814898	0.0208528428797928	3480743
77	5658750	155974676	8702175	155020078	0.0344671126733888	0.95003255699356	0.0521340093156725	0.928712441495175	0.0155003303330515	2544817	0.019153549189153	3197098
78	4937215	156899641	7787769	156154620	0.0300722855220226	0.955666464282968	0.0466558787423035	0.935509388602883	0.0142612501950091	2341387	0.0178347326548137	2976962
79	4293601	157737864	6917848	157213861	0.0261520705883057	0.960772031163715	0.0414442541176667	0.94185521365944	0.0130758982479792	2146778	0.0167005322228936	2787642
80	3721971	158519493	6154014	158217176	0.0226703059552172	0.965532887326611	0.0368681879190867	0.947865990684328	0.0117968067181715	1936779	0.0152658213965857	2548161
81	3204574	159241028	5443572	159131582	0.0195188713281577	0.969927714477977	0.0326119887681567	0.953344121257697	0.0105534141938649	1732641	0.0140438899741469	2344197
82	2733169	159884642	4779410	160001503	0.0166475712619242	0.973847929411694	0.0286330492622153	0.958555745882333	0.00950449932638153	1560432	0.0128112048554515	2138438
83	2318568	160456272	4171814	160765337	0.0141222610111621	0.977329694044783	0.0249929919749089	0.963131812080913	0.00854804494405514	1403403	0.0118751959441779	1982200
84	1932265	160973669	3579433	161475779	0.0117693122102665	0.980481128671842	0.0214440864918053	0.967388011231843	0.00774955911789121	1272309	0.0111679022763513	1864139
85	1586129	161445074	3050325	162139941	0.00966101823857379	0.983352428738076	0.0182742443085583	0.971366950737785	0.00698655302335038	1147040	0.0103588049536569	1729085
86	1278049	161859675	2568152	162747537	0.00778452111952495	0.985877738988838	0.0153855858210232	0.975007008025091	0.00633773989163711	1040519	0.00960740615388567	1603662
87	1014144	162245978	2136057	163339918	0.00617709132141218	0.988230687789734	0.012796940481754	0.978555913508195	0.00559222088885425	918121	0.00864714601005134	1443376
88	811853	162592114	1777551	163869026	0.00494494876522707	0.990338981761426	0.0106491607435018	0.981725755691442	0.00471606947334668	774276	0.00762508356505642	1272774
89	667451	162900194	1510658	164351199	0.00406540469555397	0.992215478880475	0.00905022689670055	0.984614414178977	0.00371911642397105	610598	0.00633535892432269	1057494
90	604026	163164099	1388808	164783294	0.00367908675938261	0.993822908678588	0.00832023364385116	0.987203059518246	0.00249800456202964	410118	0.0044767068379028	747249
